case_id,decision_state,predicted_exact_source,gold_root_cause_service,exact_correct,legacy_candidate_family_size,topology_state,gold_fault,gold_repetition
TTCASE-019DC004EE604B85057B,UNDERDETERMINED,,ts-auth-service,,1,TOPOLOGY_UNDERDETERMINED,loss,3
TTCASE-067891811378521C8AC8,UNDERDETERMINED,,ts-route-service,,9,TOPOLOGY_UNDERDETERMINED,socket,3
TTCASE-0759B5CE41CE9DA4845E,UNDERDETERMINED,,ts-travel-service,,7,TOPOLOGY_UNDERDETERMINED,mem,2
TTCASE-0767DC19312651FCC609,UNDERDETERMINED,,ts-route-service,,3,TOPOLOGY_UNDERDETERMINED,socket,2
TTCASE-0D354F8A4F2803301830,UNDERDETERMINED,,ts-train-service,,2,TOPOLOGY_UNDERDETERMINED,disk,3
TTCASE-1107119E23A050466F04,UNDERDETERMINED,,ts-order-service,,1,TOPOLOGY_UNDERDETERMINED,cpu,1
TTCASE-120D5DA695F64910416B,UNDERDETERMINED,,ts-order-service,,2,TOPOLOGY_UNDERDETERMINED,socket,1
TTCASE-122793A24F16C521DB27,UNDERDETERMINED,,ts-train-service,,8,TOPOLOGY_UNDERDETERMINED,delay,1
TTCASE-127D051F27259C846010,UNDERDETERMINED,,ts-route-service,,2,TOPOLOGY_UNDERDETERMINED,disk,3
TTCASE-129168830A535F95CE6D,UNDERDETERMINED,,ts-route-service,,5,TOPOLOGY_UNDERDETERMINED,socket,1
TTCASE-1BAF29E00EE9041389FA,UNDERDETERMINED,,ts-route-service,,6,TOPOLOGY_UNDERDETERMINED,mem,3
TTCASE-1FEEBA713962205C0E6D,UNDERDETERMINED,,ts-order-service,,2,TOPOLOGY_UNDERDETERMINED,cpu,3
TTCASE-2018A8DD89E3E902C19A,UNDERDETERMINED,,ts-train-service,,2,TOPOLOGY_UNDERDETERMINED,loss,2
TTCASE-23055010CCFA485496EA,UNDERDETERMINED,,ts-order-service,,7,TOPOLOGY_UNDERDETERMINED,socket,2
TTCASE-24A3A482CB067A6DEA1C,UNDERDETERMINED,,ts-route-service,,11,TOPOLOGY_UNDERDETERMINED,delay,1
TTCASE-2577DE5D11EA1131A367,UNDERDETERMINED,,ts-train-service,,4,TOPOLOGY_UNDERDETERMINED,cpu,3
TTCASE-277AAA7024F87116D969,UNDERDETERMINED,,ts-auth-service,,2,TOPOLOGY_UNDERDETERMINED,mem,1
TTCASE-2913150D6C12FB2D6278,EXACT_SOURCE_ENTITLED,ts-auth-service,ts-auth-service,True,1,TOPOLOGY_UNDERDETERMINED,socket,1
